time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1629	1.37488	5.20606	0.245558	0.2109	radar	4.64674	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3895	1.45017	5.17631	0.262937	0.219304	lidar	1.03885	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6214	1.53685	5.08892	0.286535	0.237745	radar	4.0828	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8492	1.56273	5.05493	0.278096	0.214078	lidar	1.46978	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1143	1.61529	5.09457	0.277812	0.199975	radar	1.99021	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3949	1.65644	5.13061	0.270896	0.179504	lidar	2.08244	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6264	1.71463	5.08201	0.277099	0.177468	radar	0.949651	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8576	1.77534	5.06256	0.282808	0.173863	lidar	0.371143	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1127	1.8653	5.11868	0.297136	0.178936	radar	1.31423	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3567	1.89147	5.09924	0.283747	0.152388	lidar	0.80833	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6122	1.95265	5.14269	0.28382	0.141727	radar	0.955797	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8132	2.08305	5.10892	0.321678	0.178706	lidar	3.22284	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0793	2.18944	5.19982	0.336349	0.182373	radar	3.40377	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2833	2.3276	5.17125	0.373118	0.215616	lidar	2.52058	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4642	2.47029	5.05719	0.416449	0.259975	radar	10.9955	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7141	2.58498	5.08686	0.431722	0.262424	lidar	0.857259	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.934	2.69695	5.06403	0.449121	0.268867	radar	0.234556	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.163	2.84964	5.08911	0.480282	0.289645	lidar	0.654102	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4126	2.95818	5.15506	0.482297	0.269881	radar	1.43217	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6197	3.03159	5.10219	0.478597	0.250143	lidar	2.20086	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8509	3.18291	5.16084	0.501301	0.258732	radar	3.81421	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0585	3.375	5.1838	0.5454	0.295293	lidar	1.23358	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.27	3.53974	5.16761	0.576696	0.318191	radar	2.61187	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4836	3.72766	5.19834	0.611632	0.340201	lidar	0.73347	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6954	3.86127	5.18323	0.62183	0.332754	radar	0.950297	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9169	4.00571	5.19081	0.632714	0.325902	lidar	0.199179	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1127	4.16842	5.14261	0.660012	0.345567	radar	1.82644	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3102	4.36383	5.16862	0.692222	0.36266	lidar	0.439284	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5203	4.52722	5.18521	0.705407	0.355665	radar	0.625148	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6986	4.69627	5.16673	0.726837	0.36018	lidar	0.494542	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8518	4.88897	5.07262	0.772676	0.40748	radar	4.65134	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0163	5.11408	5.1019	0.813603	0.430931	lidar	0.650326	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1859	5.28489	5.06766	0.833	0.432313	radar	1.72989	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3454	5.46649	5.05183	0.854174	0.432066	lidar	0.213979	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5011	5.63681	5.00173	0.874404	0.43602	radar	3.24407	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6943	5.76126	4.95886	0.863498	0.399085	lidar	1.7566	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8374	5.95838	4.92077	0.896555	0.422179	radar	1.11992	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0116	6.1482	4.93609	0.909919	0.413059	lidar	0.718615	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1609	6.35572	4.9485	0.934329	0.417354	radar	0.690445	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2826	6.59238	4.97204	0.973402	0.437886	lidar	0.585189	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4141	6.80623	4.96671	1.00146	0.447706	radar	0.261258	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5622	6.94408	4.89211	0.996847	0.418009	lidar	2.10023	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7112	7.15037	4.9253	1.00695	0.399316	radar	0.644523	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.908	7.28933	4.88633	0.985264	0.352588	lidar	4.0161	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.996	7.49366	4.81566	1.02602	0.390529	radar	4.06974	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0874	7.75476	4.86252	1.07087	0.418726	lidar	1.19497	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2081	7.96217	4.8635	1.08615	0.410385	radar	0.287056	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2875	8.17776	4.84318	1.11696	0.422149	lidar	1.40029	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
