0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
228.073	-25.2338	228.414	-25.2715	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
5.24529	30.9069	5.73696	30.8996	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
-1171.59	-11205.8	-1581.7	-15465.8	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
-29676.1	3096.94	-58898.4	6063.01	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
1.28699e+07	-1.33081e+06	8.57296e+06	-880848	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
141.823	1312.86	272.753	2615.48	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
-73277.9	-709759	-48628.4	-471335	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
533.995	-64.1506	1046.41	-110.551	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
-160521	19176.4	-106216	16155.2	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
452.456	3881.54	1002.06	7711.34	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
-230343	-1.84968e+06	-152138	-1.22882e+06	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
4162.04	-532.129	8286.91	-1032.48	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
-1.69263e+06	214325	-1.12307e+06	147183	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
472.274	3862.14	981.96	7687.66	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
-225701	-1.81219e+06	-143219	-1.20427e+06	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
5695.44	-729.278	11343.7	-1394.2	19.363	3.87122	18.923	3.74161	2.61382	0.95648
-2.31291e+06	290537	-1.53472e+06	198958	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
656.415	5402.51	1362.57	10754.4	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
-318537	-2.57349e+06	-203089	-1.71004e+06	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
7112.47	-905.993	14167.6	-1733.23	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953
-2.87975e+06	360258	-1.91077e+06	247310	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
854.679	7052.23	1773.43	14038	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647
-418648	-3.38912e+06	-267849	-2.25189e+06	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
8624.72	-1096.19	17180.4	-2099.08	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822
-3.49167e+06	436307	-2.31677e+06	299679	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358
1037.51	8571.01	2153.78	17059.3	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358
-510540	-4.13443e+06	-327123	-2.74704e+06	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617
10126.4	-1287.36	20173.6	-2464.54	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617
-4.09685e+06	512030	-2.7183e+06	351885	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209
1229.53	10155.7	2553.32	20213.4	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209
